SITE_ID,REGION,VEG_TYPE,TREATMENT,ELEV,SLOPE,CANOPY_COVER,PRE_BIOMASS,POST_BIOMASS,PRE_SM,POST_SM,PRE_TEMP,POST_TEMP
266,WestForest,Mixed,Intervention,435.0,2.28,74.5,108.13,96.54,26.54,27.69,16.93,16.78
267,SouthForest,Pine,Intervention,371.1,5.39,27.4,118.77,113.49,39.05,41.71,20.74,22.33
268,WestForest,Mixed,Intervention,640.6,4.35,72.6,148.27,148.1,15.23,14.42,17.64,17.21
269,EastForest,Oak,Control,562.9,2.35,60.4,126.51,124.38,22.38,23.25,18.31,17.82
270,WestForest,Pine,Intervention,413.0,1.14,39.7,116.43,100.61,18.75,23.54,11.42,11.72
271,EastForest,Oak,Intervention,542.3,5.16,48.4,138.18,122.45,29.46,33.46,17.41,17.62
272,NorthForest,Mixed,Intervention,482.3,1.84,47.0,99.6,86.17,26.74,28.04,16.28,17.35
273,EastForest,Scrub,Control,466.1,6.06,77.8,122.62,119.23,27.11,27.97,18.07,17.59
274,WestForest,Oak,Control,373.5,4.47,39.6,123.49,119.75,13.83,14.35,18.4,19.37
275,WestForest,Pine,Control,211.1,6.35,33.8,152.52,149.64,29.83,31.08,18.53,19.39
276,EastForest,Pine,Intervention,509.0,9.79,61.6,165.04,151.58,34.08,35.3,20.37,20.2
277,EastForest,Pine,Control,414.9,1.2,61.5,111.07,109.48,26.27,24.42,20.16,19.19
278,NorthForest,Mixed,Intervention,426.1,4.24,73.1,158.82,140.87,26.03,31.87,20.05,20.79
279,WestForest,Oak,Control,317.5,12.1,72.3,142.09,138.85,28.89,30.44,13.5,12.88
280,EastForest,Scrub,Intervention,426.1,8.63,57.4,102.51,94.3,35.85,40.49,15.34,16.98
281,EastForest,Scrub,Intervention,421.4,2.54,52.2,117.96,112.14,27.34,32.8,18.87,18.32
282,WestForest,Mixed,Intervention,397.2,20.69,44.9,147.85,140.25,12.96,15.36,24.14,24.44
283,WestForest,Mixed,Control,410.2,11.5,69.2,95.4,86.67,22.28,23.12,16.54,17.03
284,SouthForest,Mixed,Control,480.4,5.38,69.7,81.03,80.98,32.94,32.66,23.04,23.88
285,EastForest,Oak,Intervention,515.1,8.33,49.3,154.64,143.01,28.51,31.3,13.1,14.47
286,EastForest,Pine,Control,552.0,12.53,57.8,142.68,140.7,26.03,27.4,15.4,14.83
287,NorthForest,Mixed,Control,473.5,5.57,55.5,108.85,104.93,36.14,38.64,18.5,19.43
288,NorthForest,Pine,Control,492.6,10.65,81.3,87.52,86.66,31.39,32.34,19.21,18.62
289,SouthForest,Mixed,Intervention,653.1,7.8,100.0,145.91,132.71,23.95,28.04,21.77,22.26
290,EastForest,Pine,Control,588.6,7.98,64.4,117.62,124.62,16.92,16.4,17.18,17.59
291,EastForest,Mixed,Control,424.5,16.72,66.5,124.56,123.58,27.15,29.8,19.69,20.42
292,WestForest,Oak,Control,428.7,0.26,54.3,91.64,85.37,37.6,36.41,14.18,13.22
293,SouthForest,Mixed,Intervention,334.5,18.09,71.7,122.11,104.29,28.24,31.09,17.66,18.37
294,NorthForest,Pine,Intervention,433.7,1.7,52.8,50.43,37.77,30.7,34.39,13.81,14.49
295,SouthForest,Pine,Intervention,409.2,5.43,48.3,61.8,48.27,23.79,24.65,20.94,19.98
296,NorthForest,Mixed,Control,289.0,1.69,66.6,99.83,101.35,26.73,28.23,20.14,19.06
297,WestForest,Scrub,Intervention,336.2,1.47,38.7,118.9,98.31,28.03,30.1,22.13,21.26
298,SouthForest,Mixed,Control,560.8,3.75,97.6,144.3,134.89,28.04,28.23,22.04,22.54
299,NorthForest,Pine,Control,227.2,11.9,53.4,110.51,102.88,27.41,28.81,14.92,15.79
300,SouthForest,Oak,Control,559.5,5.1,58.8,101.67,98.9,23.56,24.18,11.97,13.34
301,NorthForest,Mixed,Intervention,696.8,1.64,72.8,128.27,123.3,25.21,30.45,22.46,22.25
302,WestForest,Mixed,Intervention,393.3,0.68,53.7,110.07,97.96,32.75,36.77,16.4,16.29
303,WestForest,Mixed,Intervention,385.1,7.99,46.8,172.32,155.83,16.1,22.48,17.19,17.32
304,NorthForest,Oak,Control,519.1,2.91,67.7,105.09,101.56,17.89,18.47,20.48,20.07
305,EastForest,Oak,Control,378.0,6.86,25.8,102.44,100.0,36.37,39.4,17.67,18.45
306,NorthForest,Pine,Control,652.4,1.53,81.2,134.58,130.8,30.0,30.18,18.6,17.82
307,WestForest,Pine,Intervention,465.9,9.13,84.4,113.11,103.72,35.15,39.4,20.6,19.97
308,SouthForest,Oak,Control,632.9,17.66,43.7,124.52,119.7,20.02,19.58,19.16,19.82
309,EastForest,Mixed,Intervention,567.0,5.66,47.3,105.02,90.84,18.42,23.18,14.74,15.89
310,WestForest,Oak,Intervention,319.9,9.47,100.0,126.74,107.27,34.05,35.69,16.88,17.17
311,WestForest,Pine,Control,347.9,4.45,63.3,149.51,138.72,42.06,42.46,16.89,15.87
312,NorthForest,Pine,Control,373.3,0.27,59.0,103.43,96.59,24.13,26.34,17.44,19.48
313,NorthForest,Mixed,Control,595.0,9.86,78.4,134.3,132.43,27.76,30.26,19.6,19.72
314,NorthForest,Pine,Control,219.7,6.06,48.4,96.72,91.87,37.95,38.58,14.86,14.32
315,WestForest,Oak,Control,365.2,6.7,75.3,93.39,83.99,16.01,17.65,19.9,19.54
316,WestForest,Mixed,Intervention,399.0,1.31,64.6,147.68,131.36,30.61,33.21,24.73,24.31
317,NorthForest,Pine,Control,578.9,2.13,62.4,127.07,125.4,24.38,26.62,21.38,21.65
318,EastForest,Pine,Control,436.5,3.3,48.6,139.29,135.61,28.09,31.52,19.73,19.34
319,NorthForest,Oak,Intervention,446.0,10.43,60.1,148.24,135.35,16.62,18.72,19.91,19.85
320,SouthForest,Scrub,Intervention,560.2,14.72,77.7,128.02,103.65,29.17,31.29,20.31,20.35
321,SouthForest,Oak,Control,275.0,3.19,62.2,89.39,82.7,20.85,21.86,15.4,14.65
322,SouthForest,Oak,Intervention,348.0,2.75,36.0,180.53,169.38,37.01,37.53,24.37,24.49
323,EastForest,Pine,Intervention,455.8,3.81,71.3,117.13,103.83,30.06,31.83,14.83,16.65
324,NorthForest,Mixed,Intervention,565.7,3.62,85.9,173.33,166.17,29.02,30.26,13.92,13.08
325,EastForest,Pine,Control,357.7,1.95,75.5,104.5,101.76,30.77,30.36,19.55,20.75
326,WestForest,Oak,Control,436.4,6.96,55.6,103.78,103.75,22.67,23.16,20.66,22.18
327,WestForest,Pine,Intervention,229.9,1.73,58.9,100.83,97.98,27.0,30.21,21.64,21.24
328,EastForest,Scrub,Control,467.0,9.18,59.7,84.99,96.09,21.75,23.71,19.75,21.0
329,SouthForest,Oak,Intervention,701.2,4.82,41.0,94.19,94.22,22.87,27.58,12.39,12.21
330,SouthForest,Pine,Intervention,438.3,14.34,51.1,136.15,125.22,19.45,21.28,16.41,16.87
331,NorthForest,Mixed,Control,476.0,11.04,64.4,92.83,96.23,28.05,24.88,19.97,19.64
332,NorthForest,Pine,Control,622.6,11.51,38.3,75.57,64.42,32.45,32.05,15.47,16.48
333,NorthForest,Pine,Intervention,246.5,1.81,53.8,95.1,82.79,22.21,25.09,21.27,20.6
334,SouthForest,Oak,Control,391.9,13.34,67.6,127.35,121.36,26.82,27.88,20.48,20.04
335,WestForest,Oak,Control,478.3,4.58,52.5,117.04,115.18,28.34,32.59,21.77,19.91
336,NorthForest,Pine,Intervention,380.9,2.41,42.5,136.38,131.2,31.11,33.89,22.67,23.72
337,SouthForest,Pine,Intervention,580.6,1.62,48.7,124.7,105.33,24.62,26.79,24.64,24.71
338,EastForest,Mixed,Intervention,386.3,3.37,57.5,136.73,118.19,16.92,16.54,14.6,13.72
339,SouthForest,Oak,Intervention,465.5,0.33,65.0,89.68,76.07,37.35,37.39,14.25,15.06
340,WestForest,Oak,Control,456.6,7.9,80.6,115.2,101.44,30.94,34.0,19.01,20.73
341,EastForest,Mixed,Control,467.6,6.0,42.4,98.07,88.21,34.85,37.7,19.39,20.12
342,EastForest,Mixed,Intervention,400.3,2.46,51.8,97.16,94.76,35.46,38.34,15.43,15.3
343,SouthForest,Mixed,Intervention,309.7,9.65,62.4,109.91,99.65,27.5,30.34,16.06,15.58
344,WestForest,Oak,Control,630.6,5.37,45.9,72.12,63.5,29.09,31.44,20.18,20.09
345,WestForest,Oak,Intervention,418.0,3.64,78.0,115.67,100.14,24.11,26.89,23.55,23.68
346,WestForest,Oak,Control,435.6,0.81,64.4,111.79,111.79,31.59,33.49,16.75,17.29
347,EastForest,Scrub,Control,646.5,4.42,45.4,104.47,101.38,35.03,37.35,21.73,23.13
348,EastForest,Pine,Control,477.4,0.76,67.7,166.77,165.34,43.92,42.51,16.42,17.5
349,WestForest,Pine,Control,197.4,4.85,82.9,132.62,127.56,30.11,29.9,17.9,16.43
350,SouthForest,Oak,Intervention,433.9,3.12,50.7,109.2,104.64,36.01,40.73,18.78,20.17
351,EastForest,Pine,Intervention,489.4,13.23,73.7,137.59,128.58,32.73,35.89,19.52,20.02
352,WestForest,Pine,Control,412.7,6.22,33.7,82.63,84.96,31.81,32.3,17.25,17.83
353,WestForest,Pine,Control,336.8,4.48,61.1,119.02,113.85,28.15,28.55,18.88,18.24
354,WestForest,Pine,Intervention,430.6,6.75,67.4,109.7,85.88,19.74,23.82,16.32,15.85
355,WestForest,Scrub,Control,206.2,2.53,72.6,71.04,73.63,39.85,41.4,17.22,17.27
356,NorthForest,Pine,Intervention,365.8,3.14,41.3,142.59,123.81,37.59,42.25,22.61,22.81
357,WestForest,Oak,Control,402.9,1.82,68.8,148.45,150.64,34.47,33.39,18.37,19.21
358,NorthForest,Pine,Intervention,606.8,2.57,70.0,99.47,85.95,24.56,29.77,19.25,19.23
359,EastForest,Mixed,Control,415.3,12.35,62.6,100.37,95.8,30.22,32.69,15.8,16.04
360,EastForest,Oak,Control,366.5,9.68,48.6,146.81,144.11,34.82,34.95,16.4,17.24
361,SouthForest,Mixed,Control,693.2,4.94,60.7,160.53,156.48,27.44,26.73,15.89,14.36
362,SouthForest,Oak,Control,501.8,7.85,65.5,119.98,108.08,23.38,23.25,16.8,16.78
363,SouthForest,Pine,Intervention,525.8,9.03,70.0,97.92,86.99,25.61,29.11,21.75,22.75
364,NorthForest,Pine,Intervention,477.9,15.7,56.9,126.97,108.63,28.54,31.85,21.88,22.32
365,EastForest,Oak,Control,434.8,9.9,60.7,116.29,118.68,38.82,41.22,15.41,15.2
366,EastForest,Pine,Intervention,675.6,3.1,53.0,124.29,110.73,23.3,25.68,19.34,19.26
367,WestForest,Pine,Control,608.1,8.3,76.1,134.68,126.48,28.58,27.4,21.78,22.82
368,EastForest,Oak,Control,356.1,5.27,63.7,133.02,127.24,30.13,30.32,18.24,18.81
369,NorthForest,Oak,Intervention,401.4,3.81,23.9,149.97,132.31,32.6,36.92,18.04,18.43
370,WestForest,Scrub,Intervention,549.9,8.45,59.7,158.59,137.82,24.16,27.08,20.81,21.31
371,SouthForest,Scrub,Intervention,570.9,4.04,57.4,105.95,91.5,25.68,26.39,20.47,20.15
372,SouthForest,Oak,Intervention,485.3,1.44,62.0,127.7,103.46,18.86,21.54,19.51,18.53
373,EastForest,Oak,Control,415.2,1.8,36.0,111.85,104.6,26.87,26.06,23.56,23.94
374,NorthForest,Scrub,Control,580.6,9.03,56.2,132.67,121.75,29.41,30.2,11.92,12.54
375,WestForest,Mixed,Intervention,467.4,4.78,51.9,112.82,95.18,30.57,34.93,18.38,19.52
376,SouthForest,Oak,Control,585.6,10.22,44.3,105.04,105.41,21.87,21.4,19.96,20.25
377,SouthForest,Mixed,Control,353.8,7.46,53.7,112.19,99.57,39.14,38.79,26.75,26.75
378,EastForest,Oak,Control,407.7,5.91,65.1,132.95,129.5,31.46,33.33,12.8,12.5
379,SouthForest,Oak,Intervention,510.0,1.97,43.2,122.05,110.13,17.72,17.73,20.87,21.19
380,SouthForest,Oak,Intervention,543.4,4.27,77.9,126.47,103.39,28.04,31.51,23.76,24.81
381,SouthForest,Oak,Intervention,495.7,2.88,42.6,77.02,66.59,19.24,22.26,18.0,18.91
382,NorthForest,Mixed,Intervention,411.7,6.54,63.0,122.4,115.07,22.4,26.46,14.23,12.97
383,SouthForest,Pine,Intervention,391.5,1.87,73.0,119.65,106.3,21.68,24.82,15.86,16.94
384,WestForest,Pine,Control,284.0,14.48,74.5,123.31,122.07,10.91,13.87,24.98,23.75
385,EastForest,Pine,Intervention,334.5,6.27,28.4,118.46,117.77,25.34,27.74,18.54,18.95
386,SouthForest,Pine,Intervention,317.4,13.34,47.5,105.56,88.12,22.55,25.56,16.76,16.9
387,EastForest,Pine,Control,516.4,0.14,45.1,116.14,113.39,38.17,39.72,13.59,12.58
388,EastForest,Oak,Control,612.3,6.93,40.9,103.47,102.25,30.28,30.83,22.61,21.96
389,EastForest,Pine,Control,581.0,0.38,50.8,96.38,84.73,28.84,32.97,21.86,21.97
390,SouthForest,Mixed,Control,400.6,6.71,72.4,106.32,102.01,15.66,16.01,22.27,23.41
391,EastForest,Scrub,Control,456.5,13.98,76.2,114.91,110.14,25.67,25.96,15.8,15.73
392,WestForest,Pine,Intervention,384.8,7.26,58.3,71.9,59.6,32.0,33.06,18.44,19.32
393,WestForest,Scrub,Control,536.0,7.36,18.0,123.84,121.65,29.5,26.45,16.19,16.89
394,NorthForest,Pine,Intervention,387.9,10.51,65.0,116.5,108.07,12.54,18.72,17.56,18.34
395,SouthForest,Mixed,Control,578.4,16.88,68.3,120.53,111.68,26.31,27.3,15.26,14.61
396,SouthForest,Pine,Control,364.1,4.7,71.2,98.22,88.56,34.65,33.81,23.54,23.58
397,EastForest,Pine,Intervention,240.8,3.49,61.9,131.58,111.03,23.67,25.89,15.29,15.85
398,NorthForest,Pine,Control,600.4,6.26,58.0,127.91,129.27,13.04,14.82,16.46,17.06
399,SouthForest,Mixed,Control,510.8,8.19,50.9,114.45,107.16,31.68,31.86,19.36,18.38
400,EastForest,Pine,Intervention,416.6,2.21,75.1,135.99,111.85,24.2,24.55,12.55,12.13
401,SouthForest,Mixed,Control,421.3,7.41,75.1,89.44,84.51,22.21,20.26,14.64,14.67
402,SouthForest,Mixed,Control,411.6,5.63,60.0,138.85,126.54,27.97,30.0,17.4,17.63
403,EastForest,Oak,Control,449.1,6.37,68.5,150.62,148.58,31.69,30.0,15.38,14.87
404,EastForest,Pine,Control,510.0,6.06,65.6,130.54,129.49,19.89,19.97,12.27,10.7
405,SouthForest,Mixed,Control,448.8,9.51,73.8,119.8,117.77,23.64,24.8,18.65,17.87
406,EastForest,Mixed,Control,465.7,4.44,53.8,105.64,109.37,15.45,17.81,20.12,20.14
407,SouthForest,Mixed,Control,590.8,1.55,68.7,122.1,120.6,26.82,27.55,20.14,20.54
408,SouthForest,Mixed,Control,554.6,10.49,35.7,156.72,148.24,21.13,22.69,16.93,16.66
409,WestForest,Oak,Control,535.9,0.53,50.6,73.35,72.72,15.75,16.1,19.48,18.88
410,NorthForest,Oak,Control,685.5,6.55,40.0,150.88,147.73,26.78,27.48,16.19,16.37
411,SouthForest,Mixed,Control,524.7,8.02,64.3,135.31,128.08,28.96,29.76,14.7,15.16
412,SouthForest,Oak,Control,378.6,3.65,40.5,94.17,82.53,32.57,32.08,15.11,13.9
413,SouthForest,Pine,Control,515.1,6.9,58.3,123.57,115.74,22.2,22.51,23.66,23.05
414,SouthForest,Pine,Intervention,573.7,2.77,38.7,140.2,132.6,18.47,21.24,17.9,18.98
415,WestForest,Mixed,Control,270.3,11.52,27.5,88.97,89.58,23.1,24.59,22.22,22.18
416,WestForest,Oak,Control,271.0,4.43,59.9,135.32,127.43,32.29,32.69,18.34,17.92
417,WestForest,Oak,Intervention,559.2,1.32,75.0,130.16,122.63,34.64,39.73,15.02,15.21
418,SouthForest,Mixed,Control,523.5,3.73,46.7,131.4,122.46,31.69,29.62,16.93,17.98
419,WestForest,Mixed,Intervention,689.5,9.5,45.9,188.69,175.11,29.98,30.71,14.21,13.34
420,NorthForest,Mixed,Intervention,216.0,5.57,49.9,104.02,103.22,31.93,36.11,18.56,18.84
421,NorthForest,Scrub,Control,421.7,4.28,63.7,137.22,134.1,25.34,24.23,18.0,17.85
422,SouthForest,Pine,Intervention,412.9,7.72,57.9,104.9,86.6,34.43,38.77,20.99,21.35
423,EastForest,Scrub,Control,544.6,4.55,64.0,105.38,96.41,40.34,39.63,18.89,19.19
424,NorthForest,Mixed,Control,627.6,3.13,30.8,118.01,112.58,29.08,31.51,17.73,18.46
425,WestForest,Oak,Control,405.1,3.63,51.7,104.91,99.43,27.13,26.97,18.3,19.59
426,EastForest,Oak,Control,599.5,1.68,61.7,110.35,104.3,30.19,30.35,17.23,17.99
427,EastForest,Mixed,Intervention,371.9,2.98,28.2,108.39,94.74,25.64,29.78,22.4,21.82
428,WestForest,Mixed,Intervention,444.2,3.52,50.7,138.31,127.29,26.75,29.71,19.28,18.98
429,EastForest,Oak,Intervention,377.9,6.87,45.5,125.35,120.94,33.8,35.54,15.53,15.98
430,EastForest,Pine,Control,509.1,5.69,67.4,137.07,135.18,28.13,26.76,18.97,18.22
431,SouthForest,Pine,Intervention,534.2,6.89,48.5,146.8,135.62,21.75,25.77,10.17,11.36
432,EastForest,Mixed,Intervention,444.4,14.2,44.1,106.39,94.38,27.28,31.6,21.81,21.93
433,NorthForest,Mixed,Intervention,553.3,1.43,69.6,86.56,77.47,28.87,31.95,16.03,15.9
434,SouthForest,Oak,Intervention,488.5,4.02,73.6,133.51,116.1,26.16,29.51,13.73,11.6
435,NorthForest,Pine,Intervention,497.4,13.43,38.0,135.24,116.55,23.43,27.51,20.43,21.11
436,SouthForest,Oak,Intervention,302.2,2.35,75.4,118.25,101.32,32.92,35.91,19.81,19.46
437,EastForest,Pine,Control,536.5,4.15,60.7,108.95,106.88,35.0,36.43,15.37,15.85
438,WestForest,Pine,Intervention,411.2,1.33,83.3,106.47,96.07,32.27,36.11,19.78,18.7
439,NorthForest,Pine,Intervention,397.0,3.48,53.7,110.64,95.5,33.9,33.14,23.15,22.69
440,WestForest,Pine,Control,506.0,7.51,66.2,124.64,119.51,15.02,16.81,21.37,21.6
441,EastForest,Scrub,Control,267.6,2.17,47.8,101.56,105.68,27.61,29.58,19.39,21.78
442,EastForest,Oak,Control,387.9,1.97,52.8,104.33,104.5,31.07,30.02,15.94,16.37
443,WestForest,Pine,Intervention,489.2,5.71,58.5,119.21,100.33,28.74,34.19,18.43,18.66
444,EastForest,Oak,Control,401.2,3.44,29.6,90.82,82.77,29.47,29.21,20.67,21.4
445,EastForest,Oak,Control,369.5,4.21,69.9,159.43,160.94,15.6,14.87,21.89,21.69
446,EastForest,Mixed,Control,578.0,9.01,81.1,131.76,124.1,31.03,29.6,15.9,16.94
447,NorthForest,Pine,Control,492.5,1.51,53.2,92.68,89.13,30.27,30.47,18.9,18.41
448,SouthForest,Scrub,Intervention,626.6,13.11,59.6,102.72,94.75,26.39,31.28,18.85,17.1
449,EastForest,Pine,Intervention,241.6,10.18,59.0,180.67,176.82,40.72,42.49,18.51,18.44
450,WestForest,Pine,Control,514.6,5.56,70.9,77.67,76.84,32.8,33.55,21.93,21.93
451,EastForest,Mixed,Control,400.4,5.69,63.3,127.92,124.11,12.03,11.56,15.39,16.32
452,WestForest,Pine,Intervention,448.4,3.93,74.8,73.8,62.57,12.89,13.23,23.21,23.42
453,NorthForest,Pine,Control,352.5,3.95,82.9,87.07,88.94,21.62,21.72,17.78,18.66
454,NorthForest,Pine,Intervention,422.1,8.23,65.8,97.05,79.2,26.52,31.77,19.48,20.49
455,SouthForest,Pine,Intervention,383.6,2.71,65.9,75.84,66.0,31.57,34.96,18.57,20.09
456,NorthForest,Scrub,Intervention,706.3,3.1,40.2,82.45,73.26,25.74,30.31,17.97,19.07
457,SouthForest,Scrub,Control,302.1,1.07,70.0,116.87,116.58,25.13,24.49,19.74,19.38
458,SouthForest,Pine,Intervention,471.9,9.83,62.0,127.18,112.52,32.88,35.99,17.8,17.21
459,SouthForest,Oak,Control,461.4,6.77,75.3,131.71,131.56,45.99,46.92,16.24,16.96
460,WestForest,Mixed,Intervention,615.1,5.22,56.7,133.14,122.75,27.37,29.07,18.93,17.27
461,SouthForest,Pine,Control,711.3,10.68,71.1,140.99,133.31,28.9,28.45,18.54,18.85
462,EastForest,Mixed,Control,491.0,6.61,53.5,109.47,109.66,30.6,29.63,19.77,19.35
463,NorthForest,Pine,Intervention,382.0,3.14,48.7,106.97,103.16,29.2,34.01,24.51,23.98
464,NorthForest,Mixed,Control,358.9,2.35,77.7,114.06,107.52,35.36,35.24,14.8,15.66
465,WestForest,Pine,Control,432.8,6.12,80.6,114.51,112.15,23.38,21.85,16.93,17.15
466,EastForest,Pine,Intervention,321.3,2.31,64.8,141.44,126.69,24.12,28.22,15.18,14.77
467,SouthForest,Pine,Control,489.8,3.63,53.4,141.86,136.75,19.26,19.81,15.65,15.29
468,SouthForest,Mixed,Control,403.4,2.07,36.9,127.2,124.85,27.08,26.99,19.61,20.55
469,WestForest,Scrub,Intervention,385.6,5.93,93.3,86.72,79.71,24.86,28.63,20.81,20.54
470,NorthForest,Oak,Intervention,484.8,8.51,34.5,93.98,89.02,24.1,29.78,19.11,19.57
471,NorthForest,Pine,Control,456.4,3.2,62.8,166.26,163.06,36.95,38.87,10.65,10.22
472,SouthForest,Mixed,Control,272.7,17.78,65.2,106.84,101.07,31.6,33.4,23.01,23.45
473,NorthForest,Scrub,Control,323.8,4.14,63.9,141.85,139.8,26.33,28.03,23.08,22.45
474,WestForest,Pine,Control,355.0,3.86,96.2,111.82,108.26,18.43,19.35,18.2,17.9
475,NorthForest,Oak,Control,389.2,3.0,63.5,110.08,103.46,42.65,43.06,22.4,24.34
476,NorthForest,Pine,Intervention,300.0,8.82,53.0,140.18,126.26,16.87,20.88,14.57,14.63
477,NorthForest,Oak,Intervention,576.1,5.65,56.2,127.62,130.87,29.03,31.12,16.06,15.63
478,WestForest,Oak,Control,512.7,7.78,67.0,129.48,116.52,20.87,23.61,12.27,11.74
479,EastForest,Pine,Intervention,698.4,1.57,55.9,129.38,115.88,28.33,33.36,20.25,20.83
480,SouthForest,Pine,Control,462.4,1.61,54.6,141.16,133.13,31.43,31.07,17.45,16.35
481,WestForest,Oak,Intervention,551.6,5.27,70.6,80.11,65.08,37.03,41.34,15.1,14.4
482,EastForest,Mixed,Control,533.9,11.62,50.4,99.38,98.9,28.43,30.5,23.51,23.18
483,NorthForest,Oak,Control,619.1,4.97,55.3,104.64,104.06,45.03,43.28,17.27,17.02
484,NorthForest,Oak,Intervention,611.0,14.77,83.4,108.7,99.71,26.43,30.61,19.36,20.67
485,EastForest,Scrub,Control,493.8,2.69,70.8,132.73,143.36,37.25,38.0,13.18,14.6
486,WestForest,Pine,Intervention,652.2,1.05,83.8,126.6,116.33,16.69,18.06,10.78,11.28
487,NorthForest,Oak,Intervention,506.2,6.01,78.4,149.88,141.72,20.51,21.62,18.64,17.13
488,SouthForest,Oak,Intervention,226.0,5.09,93.0,86.36,67.92,39.34,41.85,17.76,19.11
489,WestForest,Pine,Control,399.1,3.29,45.0,117.47,116.1,34.98,33.51,17.53,17.3
490,EastForest,Pine,Control,430.7,6.23,90.0,95.65,103.19,40.31,39.37,18.89,19.73
491,NorthForest,Pine,Control,410.0,0.93,74.0,148.83,149.03,26.74,26.18,24.46,24.59
492,WestForest,Mixed,Intervention,444.8,3.04,65.5,111.7,86.97,27.25,29.32,17.63,18.2
493,SouthForest,Oak,Intervention,462.8,6.49,68.0,93.45,84.87,17.81,20.86,11.38,10.7
494,SouthForest,Pine,Control,512.2,10.69,53.7,152.41,145.2,38.88,38.95,20.8,19.94
495,SouthForest,Pine,Control,630.5,3.98,64.4,125.82,122.4,37.93,39.92,15.94,15.25
496,NorthForest,Oak,Control,527.5,12.31,68.8,97.6,86.04,36.64,37.46,15.33,16.31
497,SouthForest,Pine,Intervention,409.5,6.6,71.6,113.08,103.89,33.43,36.34,20.99,20.6
498,SouthForest,Pine,Control,419.5,6.67,58.5,104.68,104.84,38.21,38.59,14.51,14.71
499,EastForest,Oak,Intervention,394.1,11.35,50.6,117.67,99.02,26.62,27.6,17.28,17.23
500,SouthForest,Mixed,Control,198.6,6.06,94.0,158.14,159.89,32.51,32.81,22.02,23.12
501,SouthForest,Scrub,Intervention,360.2,8.64,85.9,97.36,83.4,30.77,33.0,22.16,24.13
502,WestForest,Mixed,Control,521.9,8.67,69.3,87.08,86.17,24.65,26.98,13.0,13.12
503,NorthForest,Pine,Intervention,291.1,3.41,73.7,146.41,129.65,34.07,36.95,16.75,17.35
504,NorthForest,Oak,Control,507.0,8.78,73.3,125.29,121.19,27.82,27.51,15.95,16.76
505,NorthForest,Mixed,Control,711.6,3.1,56.3,105.02,97.01,37.87,39.92,17.07,17.76
506,EastForest,Mixed,Control,361.5,2.3,55.8,136.93,125.3,26.31,25.67,13.03,13.61
507,EastForest,Scrub,Intervention,499.5,14.51,42.9,139.85,123.46,30.98,32.73,21.42,22.73
508,WestForest,Pine,Control,455.2,2.47,48.3,161.47,163.67,30.94,31.16,11.82,11.22
509,WestForest,Scrub,Intervention,219.8,2.76,52.3,106.48,95.27,26.85,29.23,23.43,22.12
510,EastForest,Oak,Control,499.3,0.77,55.6,80.58,87.92,28.78,28.38,12.43,13.04
511,NorthForest,Oak,Intervention,539.8,6.1,58.9,93.92,87.37,24.92,28.23,13.67,14.49
512,EastForest,Pine,Control,528.7,1.96,50.1,69.55,61.25,37.04,33.45,14.74,16.55
513,EastForest,Pine,Control,289.8,12.95,67.0,101.78,94.93,33.86,33.44,21.23,21.32
514,WestForest,Mixed,Intervention,541.7,3.19,39.1,113.36,110.34,25.26,28.48,17.2,17.02
515,NorthForest,Oak,Control,216.8,2.6,77.6,100.53,87.96,38.23,38.33,16.47,16.83
516,NorthForest,Pine,Intervention,223.5,3.24,95.9,119.52,112.54,37.05,40.07,16.62,16.97
517,EastForest,Pine,Intervention,506.1,12.21,39.2,115.84,103.06,27.35,33.36,11.55,10.32
518,EastForest,Mixed,Intervention,528.0,2.94,49.9,168.77,156.39,23.16,24.81,16.13,16.18
519,WestForest,Mixed,Intervention,430.1,20.93,37.3,126.2,113.24,28.95,33.7,18.11,18.59
520,NorthForest,Mixed,Intervention,583.4,8.88,63.3,133.22,120.25,26.52,29.14,19.27,18.38
521,EastForest,Scrub,Intervention,504.9,4.44,76.5,140.81,120.57,35.64,38.11,22.87,23.0
522,EastForest,Oak,Intervention,520.7,2.52,76.4,130.29,112.07,27.85,29.42,20.19,21.16
523,NorthForest,Scrub,Intervention,362.6,2.04,60.5,100.57,83.6,16.71,19.48,20.8,21.34
524,WestForest,Mixed,Control,395.2,7.05,67.5,130.54,126.44,30.88,30.04,20.12,21.73
525,NorthForest,Oak,Control,417.3,15.23,56.7,102.33,99.75,27.2,30.51,16.22,16.72
526,SouthForest,Oak,Intervention,411.0,9.27,62.4,96.08,79.27,19.25,25.52,20.24,20.51
527,EastForest,Oak,Intervention,706.5,12.51,62.2,137.38,129.1,28.93,33.06,14.64,16.02
528,EastForest,Pine,Control,710.5,7.41,57.9,103.37,92.02,19.85,21.27,23.09,23.36
529,EastForest,Pine,Control,485.0,2.08,56.1,135.32,126.74,29.7,29.2,21.2,21.59
530,SouthForest,Mixed,Control,551.1,5.88,68.3,91.79,84.11,32.17,32.91,16.84,15.05
531,NorthForest,Pine,Control,330.4,5.48,47.6,133.17,129.22,28.1,29.27,14.67,15.28
532,SouthForest,Pine,Control,441.4,8.42,59.2,95.49,84.68,24.92,25.24,17.0,17.38
533,EastForest,Mixed,Control,328.5,15.0,62.0,88.9,80.03,25.38,27.95,14.57,14.75
