MAKE,PRICE,YEAR,KILOMETER,FUEL TYPE,TRANSMISSION,COLOR,OWNER,SELLER TYPE,ENGINE,MAX POWER,MAX TORQUE,DRIVETRAIN,LENGTH,WIDTH,HEIGHT,SEATING CAPACITY,FUEL TANK CAPACITY
BMW,1750000,2014,69000,Diesel,Automatic,White,Second,Individual,1995.0,190.0,400.0,RWD,4899.0,2094.0,1464.0,5.0,65.0
BMW,2900000,2019,25000,Diesel,Automatic,White,First,Individual,1995.0,184.0,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0
BMW,4500000,2022,17000,Diesel,Automatic,White,First,Individual,1995.0,184.0,350.0,RWD,4454.0,2044.0,1545.0,5.0,63.0
Honda,450000,2013,61000,Petrol,Manual,Maroon,First,Individual,1497.0,116.0,146.0,FWD,4440.0,1695.0,1485.0,5.0,42.0
BMW,2149000,2015,69000,Diesel,Automatic,Silver,First,Individual,1995.0,188.0,400.0,RWD,4936.0,1868.0,1479.0,5.0,65.0
Mercedes-Benz,4200000,2015,77000,Diesel,Automatic,Black,Second,Individual,2987.0,258.0,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0
Tata,860000,2018,82200,Diesel,Manual,Grey,First,Individual,1497.0,108.0,260.0,FWD,3994.0,1811.0,1607.0,5.0,44.0
Honda,875000,2018,28000,Petrol,Manual,Silver,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
MG,3500000,2021,7900,Diesel,Automatic,Black,First,Individual,1996.0,215.0,480.0,AWD,4985.0,1926.0,1867.0,6.0,75.0
Audi,1513000,2015,79000,Diesel,Automatic,Blue,Second,Individual,1968.0,174.0,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,234000,2013,72600,Petrol,Manual,White,First,Individual,998.0,67.0,90.0,FWD,3620.0,1475.0,1460.0,5.0,35.0
Datsun,320000,2018,42313,Petrol,Automatic,Grey,Second,Individual,999.0,67.0,91.0,FWD,3429.0,1560.0,1541.0,5.0,28.0
BMW,5975000,2021,18000,Diesel,Automatic,White,First,Individual,1995.0,190.0,400.0,AWD,4657.0,1881.0,1678.0,5.0,67.0
Maruti Suzuki,1025000,2019,90000,Diesel,Manual,White,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,630000,2017,36000,Diesel,Manual,Blue,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
Hyundai,1090000,2020,26200,Petrol,Automatic,White,First,Individual,998.0,118.0,172.0,FWD,3995.0,1770.0,1605.0,5.0,45.0
Maruti Suzuki,700000,2019,11000,Petrol,Manual,Silver,Second,Individual,1197.0,82.0,113.0,FWD,3840.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,661000,2021,14366,Petrol,Manual,Others,First,Individual,1197.0,89.0,113.0,FWD,3845.0,1735.0,1530.0,5.0,37.0
Mahindra,565000,2017,65000,Diesel,Manual,Red,Second,Individual,1493.0,84.0,230.0,RWD,3995.0,1835.0,1839.0,7.0,60.0
Toyota,750000,2014,126000,Diesel,Manual,Silver,First,Individual,2494.0,100.0,200.0,RWD,4585.0,1760.0,1760.0,7.0,55.0
Audi,1850000,2015,71700,Diesel,Automatic,White,Second,Individual,1968.0,174.0,380.0,AWD,4385.0,1831.0,1608.0,5.0,64.0
Mahindra,850000,2016,114000,Diesel,Manual,White,First,Individual,2179.0,138.0,330.0,FWD,4585.0,1890.0,1785.0,7.0,70.0
Hyundai,535000,2016,58339,Diesel,Manual,Grey,First,Individual,1396.0,89.0,220.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Maruti Suzuki,770000,2019,72040,Diesel,Automatic,Silver,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
BMW,3650000,2019,6000,Petrol,Automatic,White,First,Individual,1998.0,248.0,350.0,RWD,4633.0,1811.0,1429.0,5.0,57.0
Kia,1195000,2022,6200,Petrol,Manual,Red,First,Individual,998.0,118.0,172.0,FWD,3995.0,1790.0,1647.0,5.0,45.0
Mercedes-Benz,1650000,2012,44000,Petrol,Automatic,Silver,Third,Individual,5461.0,368.0,505.0,RWD,5226.0,2120.0,1479.0,5.0,90.0
Skoda,3199000,2021,6900,Petrol,Automatic,Brown,First,Individual,1798.0,177.0,250.0,FWD,4861.0,1864.0,1483.0,5.0,66.0
Mercedes-Benz,7100000,2022,2500,Petrol,Automatic,Grey,First,Individual,1991.0,194.0,300.0,RWD,5063.0,1860.0,1494.0,5.0,80.0
Volkswagen,625000,2016,68000,Petrol,Automatic,White,First,Individual,1197.0,103.0,175.0,FWD,3971.0,1682.0,1469.0,5.0,45.0
Maruti Suzuki,745000,2018,36000,Diesel,Manual,White,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Hyundai,551000,2021,19000,Petrol,Manual,White,First,Individual,1086.0,68.0,99.0,FWD,3610.0,1645.0,1560.0,5.0,35.0
Mercedes-Benz,5950000,2019,10000,Diesel,Automatic,White,First,Individual,1950.0,192.0,400.0,RWD,5063.0,1860.0,1494.0,5.0,80.0
Land Rover,22000000,2019,35000,Diesel,Automatic,Blue,First,Individual,2993.0,244.0,600.0,AWD,4999.0,2220.0,1835.0,5.0,105.0
MINI,3300000,2019,6400,Diesel,Automatic,Red,First,Individual,1496.0,114.0,270.0,FWD,3821.0,1727.0,1414.0,5.0,44.0
Ford,3250000,2019,34000,Diesel,Automatic,White,First,Individual,3198.0,197.0,470.0,AWD,4903.0,1869.0,1837.0,7.0,80.0
Renault,690000,2016,35000,Diesel,Automatic,Grey,Second,Individual,1461.0,108.0,248.0,FWD,4315.0,1822.0,1695.0,5.0,50.0
Maruti Suzuki,894999,2019,46000,Diesel,Automatic,White,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Skoda,550000,2016,83000,Diesel,Manual,White,First,Individual,1598.0,105.0,250.0,FWD,4386.0,1699.0,1466.0,5.0,55.0
Ford,399000,2013,54000,Diesel,Manual,Orange,Third,Individual,1498.0,89.0,204.0,FWD,3999.0,1765.0,1708.0,5.0,52.0
Kia,1275000,2020,42000,Petrol,Manual,Black,First,Individual,1497.0,113.0,144.0,FWD,4315.0,1800.0,1645.0,5.0,50.0
Maruti Suzuki,535000,2020,41441,Petrol,Manual,Silver,First,Individual,1196.0,73.0,101.0,RWD,3675.0,1475.0,1800.0,5.0,40.0
Maruti Suzuki,825000,2018,48174,Diesel,Manual,White,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Ford,585000,2016,62591,Diesel,Manual,Silver,First,Individual,1498.0,99.0,205.0,FWD,3998.0,1765.0,1647.0,5.0,52.0
Honda,675000,2017,48650,Petrol,Automatic,Brown,First,Individual,1199.0,89.0,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0
Maruti Suzuki,795000,2017,52245,Diesel,Manual,Brown,First,Individual,1248.0,89.0,200.0,FWD,4300.0,1785.0,1595.0,5.0,48.0
Mercedes-Benz,6500000,2021,7500,Petrol,Automatic,Black,First,Individual,1991.0,194.0,300.0,RWD,5063.0,1860.0,1494.0,5.0,80.0
Hyundai,611000,2017,65000,Diesel,Manual,White,First,Individual,1396.0,89.0,220.0,FWD,3985.0,1734.0,1505.0,5.0,45.0
Maruti Suzuki,390000,2015,43297,Petrol,Manual,Red,First,Individual,998.0,67.0,90.0,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,650000,2019,44710,Petrol,Manual,White,First,Individual,1197.0,83.0,115.0,FWD,3850.0,1695.0,1530.0,5.0,42.0
Renault,390000,2013,62000,Diesel,Manual,Silver,First,Individual,1461.0,108.0,240.0,FWD,4618.0,1813.0,1488.0,5.0,67.0
Audi,2400000,2017,59267,Diesel,Automatic,Silver,First,Individual,1968.0,188.0,400.0,FWD,4726.0,1842.0,1427.0,5.0,54.0
Maruti Suzuki,385000,2011,69000,Petrol,Manual,Silver,First,Individual,1197.0,85.0,114.0,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,450000,2017,75000,Petrol,Manual,White,First,Commercial Registration,1197.0,83.0,115.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,649000,2020,52236,Petrol,Manual,Silver,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Audi,2900000,2019,15530,Diesel,Automatic,White,First,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Maruti Suzuki,400000,2014,64000,Diesel,Manual,White,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,599000,2020,35000,Petrol,Automatic,Silver,First,Individual,1197.0,82.0,114.0,FWD,3805.0,1680.0,1520.0,5.0,37.0
Toyota,2980000,2019,92000,Diesel,Manual,Black,First,Individual,2755.0,174.0,420.0,RWD,4795.0,1855.0,1835.0,7.0,80.0
Audi,3500000,2018,18000,Petrol,Automatic,White,First,Individual,1395.0,148.0,250.0,FWD,4726.0,1842.0,1427.0,5.0,54.0
Honda,400000,2016,50000,Petrol,Manual,Red,First,Individual,1199.0,89.0,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0
Mercedes-Benz,6975000,2022,2000,Petrol,Automatic,White,First,Individual,1991.0,194.0,320.0,RWD,4658.0,1890.0,1644.0,5.0,66.0
Mercedes-Benz,5400000,2016,16000,Diesel,Automatic,White,First,Individual,2143.0,201.0,500.0,AWD,4819.0,2141.0,1796.0,5.0,93.0
Mercedes-Benz,3700000,2015,103890,Diesel,Automatic,Black,Second,Individual,2987.0,258.0,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0
Maruti Suzuki,445000,2018,71000,Petrol,Manual,White,First,Individual,998.0,67.0,90.0,FWD,3600.0,1600.0,1560.0,5.0,35.0
Mahindra,1475000,2021,12000,Diesel,Manual,Red,First,Individual,2184.0,130.0,300.0,AWD,3985.0,1820.0,1844.0,4.0,57.0
Toyota,2800000,2016,93000,Diesel,Automatic,White,First,Individual,2755.0,174.0,450.0,RWD,4795.0,1855.0,1835.0,7.0,80.0
Maruti Suzuki,600000,2020,10000,Petrol,Manual,White,First,Individual,1197.0,83.0,115.0,FWD,3850.0,1695.0,1530.0,5.0,42.0
Kia,1835000,2020,33828,Diesel,Automatic,White,First,Individual,1493.0,114.0,250.0,FWD,4315.0,1800.0,1645.0,5.0,50.0
Maruti Suzuki,550000,2019,48000,CNG,Manual,Silver,First,Individual,998.0,58.0,78.0,FWD,3655.0,1620.0,1675.0,5.0,60.0
Maruti Suzuki,715000,2017,71000,Diesel,Manual,Red,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Mahindra,2540000,2022,18000,Diesel,Automatic,White,First,Individual,2184.0,182.0,450.0,FWD,4695.0,1890.0,1755.0,7.0,60.0
Maruti Suzuki,525000,2019,50000,CNG,Manual,Grey,First,Individual,998.0,58.0,78.0,FWD,3655.0,1620.0,1675.0,5.0,60.0
Hyundai,425000,2015,48000,Petrol,Manual,Silver,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,795000,2022,4000,Petrol,Automatic,White,First,Individual,1197.0,87.0,115.0,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,565000,2014,68000,Diesel,Manual,White,First,Individual,1582.0,128.0,260.0,FWD,4370.0,1700.0,1475.0,5.0,43.0
BMW,2550000,2015,70000,Diesel,Automatic,Blue,Second,Individual,1995.0,190.0,400.0,RWD,4899.0,2094.0,1464.0,5.0,65.0
Hyundai,529000,2015,57654,Petrol,Manual,White,First,Individual,1197.0,82.0,115.0,FWD,3995.0,1760.0,1555.0,5.0,45.0
Maruti Suzuki,400000,2019,22000,Petrol,Manual,White,First,Individual,998.0,67.0,90.0,FWD,3545.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,975000,2019,41792,Petrol,Manual,Blue,First,Individual,1462.0,103.0,138.0,FWD,4445.0,1775.0,1700.0,6.0,45.0
BMW,2600000,2017,41000,Diesel,Automatic,Blue,First,Individual,1995.0,188.0,400.0,FWD,4439.0,1821.0,1612.0,5.0,51.0
Mercedes-Benz,2390000,2013,107021,Diesel,Automatic,White,Second,Individual,2987.0,258.0,619.0,AWD,5120.0,1934.0,1850.0,7.0,100.0
Kia,1550000,2019,17000,Petrol,Manual,White,First,Individual,1353.0,138.0,242.0,FWD,4315.0,1800.0,1645.0,5.0,50.0
Maruti Suzuki,430000,2019,57993,Petrol,Automatic,White,First,Individual,998.0,67.0,90.0,FWD,3545.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,600000,2018,32000,Petrol,Manual,Silver,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Toyota,1650000,2018,25914,Petrol,Automatic,Brown,First,Corporate,1798.0,138.0,173.0,FWD,4620.0,1775.0,1475.0,5.0,55.0
Audi,9400000,2022,4500,Petrol,Automatic,Black,First,Individual,2995.0,335.0,500.0,AWD,5064.0,1970.0,1703.0,7.0,85.0
Maruti Suzuki,250000,2014,114000,Petrol,Manual,White,Second,Individual,998.0,67.0,90.0,FWD,3620.0,1475.0,1460.0,5.0,35.0
Mahindra,994999,2016,105000,Diesel,Automatic,Grey,Second,Individual,2179.0,138.0,330.0,FWD,4585.0,1890.0,1785.0,7.0,70.0
Maruti Suzuki,675000,2016,45000,Diesel,Manual,Red,First,Individual,1248.0,89.0,200.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,455000,2014,30183,Petrol,Manual,Grey,First,Individual,1197.0,85.0,114.0,FWD,3995.0,1695.0,1555.0,5.0,42.0
Maruti Suzuki,345000,2016,73190,Petrol,Manual,Grey,Second,Individual,998.0,67.0,90.0,FWD,3599.0,1495.0,1700.0,5.0,35.0
BMW,4700000,2022,13120,Petrol,Automatic,White,First,Individual,1998.0,189.0,280.0,FWD,4447.0,1821.0,1598.0,5.0,51.0
Hyundai,700000,2014,64000,Petrol,Manual,White,First,Individual,1797.0,147.0,177.0,FWD,4530.0,1775.0,1470.0,5.0,56.0
Honda,499000,2014,140000,Diesel,Manual,White,First,Individual,1498.0,99.0,200.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,590000,2015,39000,Petrol,Manual,White,First,Individual,1373.0,91.0,130.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
Nissan,490000,2014,56918,Petrol,Automatic,Blue,Second,Individual,1198.0,76.0,104.0,FWD,3825.0,1665.0,1530.0,5.0,41.0
Maruti Suzuki,695000,2018,55000,Diesel,Automatic,Grey,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
Hyundai,1025000,2019,42000,Diesel,Manual,Silver,First,Individual,1396.0,89.0,220.0,FWD,3995.0,1770.0,1605.0,5.0,45.0
Volkswagen,3375000,2021,25000,Petrol,Automatic,Silver,First,Individual,1984.0,188.0,320.0,AWD,4701.0,1839.0,1674.0,7.0,60.0
Toyota,2250000,2019,28000,Diesel,Manual,Maroon,First,Individual,2393.0,148.0,343.0,RWD,4735.0,1830.0,1795.0,8.0,55.0
Mercedes-Benz,2650000,2018,43000,Diesel,Automatic,Grey,Second,Individual,2143.0,134.0,300.0,FWD,4424.0,1804.0,1494.0,5.0,50.0
Maruti Suzuki,715000,2021,16000,Petrol,Manual,Grey,First,Individual,1197.0,83.0,115.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,1200000,2019,27657,Diesel,Automatic,Grey,Second,Individual,1582.0,126.0,260.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,275000,2012,30000,Petrol,Manual,White,First,Individual,998.0,68.0,94.0,FWD,3515.0,1500.0,1510.0,5.0,32.0
Honda,445000,2012,111000,Petrol,Manual,Red,First,Individual,1497.0,116.0,146.0,FWD,4440.0,1695.0,1485.0,5.0,42.0
Mercedes-Benz,1850000,2016,37600,Diesel,Automatic,Red,First,Individual,2143.0,134.0,300.0,FWD,4299.0,1780.0,1433.0,4.0,50.0
Maruti Suzuki,665000,2017,48000,Diesel,Manual,Blue,First,Individual,1248.0,74.0,190.0,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,1090000,2019,37000,Diesel,Manual,Blue,First,Individual,1396.0,89.0,220.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
Mercedes-Benz,5500000,2015,54000,Diesel,Automatic,White,First,Individual,2987.0,255.0,620.0,RWD,5246.0,1899.0,1494.0,5.0,70.0
Audi,2400000,2017,81802,Diesel,Automatic,Blue,Second,Individual,1968.0,190.0,400.0,FWD,4933.0,1874.0,1455.0,5.0,75.0
Hyundai,1085000,2018,45915,Diesel,Automatic,Black,First,Individual,1582.0,126.0,260.0,FWD,4440.0,1729.0,1475.0,5.0,45.0
Hyundai,2140000,2021,24000,Petrol,Automatic,Grey,First,Individual,1999.0,157.0,191.0,FWD,4500.0,1790.0,1675.0,6.0,50.0
Honda,795000,2019,22224,Petrol,Automatic,Grey,First,Individual,1199.0,89.0,110.0,FWD,3995.0,1695.0,1501.0,5.0,35.0
Maruti Suzuki,1080000,2021,38000,CNG,Manual,White,First,Individual,1373.0,94.0,130.0,FWD,4296.0,1695.0,1685.0,7.0,45.0
Honda,628000,2018,53848,Petrol,Manual,Maroon,First,Individual,1199.0,89.0,110.0,FWD,3995.0,1695.0,1501.0,5.0,35.0
BMW,1550000,2013,104264,Diesel,Automatic,Red,Second,Individual,1995.0,188.0,400.0,RWD,4633.0,1811.0,1429.0,5.0,57.0
Mercedes-Benz,2400000,2016,61159,Petrol,Automatic,Black,Second,Individual,1991.0,184.0,300.0,RWD,4879.0,1854.0,1474.0,5.0,80.0
Honda,595000,2015,72000,Petrol,Manual,Brown,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Land Rover,3450000,2016,29000,Diesel,Automatic,Blue,First,Individual,2179.0,188.0,420.0,AWD,4465.0,1900.0,1635.0,5.0,57.0
Honda,819999,2018,42000,Petrol,Manual,Maroon,First,Individual,1199.0,89.0,110.0,FWD,3999.0,1734.0,1601.0,5.0,40.0
Audi,1490000,2012,40000,Diesel,Automatic,Black,First,Individual,1968.0,174.0,380.0,AWD,4629.0,1898.0,1653.0,5.0,75.0
Mahindra,950000,2020,57400,Diesel,Manual,White,First,Individual,1497.0,115.0,300.0,FWD,3995.0,1821.0,1627.0,5.0,42.0
Jaguar,3750000,2019,13500,Diesel,Automatic,Silver,Second,Individual,1999.0,177.0,430.0,RWD,5067.0,2091.0,1457.0,5.0,66.0
Mercedes-Benz,4950000,2021,12400,Petrol,Automatic,Blue,First,Individual,1991.0,201.0,300.0,RWD,4686.0,1810.0,1442.0,5.0,66.0
Jeep,2950000,2021,38000,Diesel,Automatic,White,First,Individual,1956.0,168.0,350.0,AWD,4405.0,1818.0,1640.0,5.0,60.0
Toyota,1290000,2012,121000,Diesel,Manual,Gold,Second,Individual,2982.0,169.0,343.0,AWD,4705.0,1840.0,1850.0,7.0,80.0
Toyota,625000,2015,76000,Diesel,Manual,White,First,Individual,1364.0,67.0,170.0,FWD,3775.0,1695.0,1510.0,5.0,45.0
Mahindra,1490000,2018,50000,Diesel,Manual,Maroon,First,Individual,2179.0,138.0,330.0,FWD,4585.0,1890.0,1785.0,7.0,70.0
Mahindra,1190000,2017,41470,Diesel,Automatic,Black,First,Individual,2179.0,138.0,330.0,FWD,4585.0,1890.0,1785.0,7.0,70.0
Mahindra,625000,2013,170000,Diesel,Manual,White,Third,Individual,2179.0,120.0,290.0,RWD,4430.0,1817.0,1975.0,8.0,60.0
Land Rover,5375000,2014,80000,Diesel,Automatic,White,Second,Individual,2993.0,289.0,600.0,AWD,4879.0,2073.0,1780.0,5.0,77.0
Honda,1138000,2018,6000,Petrol,Automatic,Silver,First,Corporate,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Audi,4250000,2021,17000,Petrol,Automatic,White,First,Individual,1798.0,170.0,320.0,FWD,4701.0,1826.0,1427.0,5.0,63.0
Honda,365000,2014,31000,Petrol,Manual,White,First,Individual,1198.0,87.0,109.0,FWD,3610.0,1680.0,1500.0,5.0,35.0
Chevrolet,475000,2014,73265,Diesel,Automatic,White,Second,Individual,1998.0,164.0,380.0,FWD,4597.0,1788.0,1477.0,5.0,60.0
Hyundai,1225000,2019,47000,Diesel,Manual,White,First,Individual,1582.0,126.0,260.0,FWD,4270.0,1780.0,1665.0,5.0,55.0
Maruti Suzuki,725000,2017,42000,Diesel,Manual,White,First,Individual,1248.0,89.0,200.0,FWD,4296.0,1695.0,1685.0,7.0,45.0
Mercedes-Benz,2450000,2017,25000,Diesel,Automatic,White,Second,Individual,2143.0,134.0,300.0,FWD,4417.0,1804.0,1494.0,5.0,50.0
Maruti Suzuki,695000,2018,68818,Petrol,Automatic,Silver,First,Individual,1197.0,82.0,113.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
Toyota,2200000,2018,57000,Diesel,Automatic,Grey,First,Individual,2755.0,172.0,360.0,RWD,4735.0,1830.0,1795.0,7.0,55.0
Honda,950000,2020,39000,Diesel,Automatic,White,First,Individual,1498.0,79.0,160.0,FWD,3995.0,1695.0,1501.0,5.0,35.0
Toyota,2598000,2022,12050,Petrol,Automatic,Black,First,Individual,2694.0,164.0,245.0,RWD,4735.0,1830.0,1795.0,7.0,65.0
Honda,585000,2017,24100,Petrol,Manual,Silver,First,Individual,1199.0,89.0,110.0,FWD,3955.0,1694.0,1544.0,5.0,40.0
Ford,434999,2017,23000,Petrol,Manual,White,First,Individual,1196.0,87.0,112.0,FWD,3995.0,1695.0,1525.0,5.0,42.0
Maruti Suzuki,910000,2019,76000,Diesel,Manual,White,First,Individual,1498.0,94.0,225.0,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,565000,2020,47000,Petrol,Manual,White,First,Individual,998.0,67.0,90.0,FWD,3695.0,1600.0,1560.0,5.0,35.0
Toyota,1050000,2021,1910,Petrol,Automatic,White,First,Individual,1462.0,103.0,138.0,FWD,3995.0,1790.0,1640.0,5.0,48.0
Hyundai,990000,2019,23000,Diesel,Manual,Orange,First,Individual,1396.0,89.0,224.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,2590000,2020,36978,Diesel,Automatic,Blue,Second,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Mahindra,1000000,2016,33000,Diesel,Manual,White,First,Individual,2179.0,138.0,330.0,AWD,4585.0,1890.0,1785.0,7.0,70.0
Hyundai,254999,2012,18954,Petrol,Manual,White,First,Individual,1086.0,68.0,99.081,FWD,3585.0,1595.0,1550.0,5.0,35.0
Hyundai,598000,2015,58200,Petrol,Automatic,Silver,First,Individual,1591.0,121.0,158.0,FWD,4370.0,1700.0,1475.0,5.0,43.0
Hyundai,560000,2016,80000,Diesel,Manual,White,Second,Individual,1396.0,89.0,220.0,FWD,3985.0,1734.0,1505.0,5.0,40.0
Audi,975000,2011,75000,Diesel,Automatic,Silver,First,Individual,1968.0,177.0,380.0,FWD,4701.0,1826.0,1427.0,5.0,63.0
Audi,2600000,2017,64000,Diesel,Automatic,Blue,First,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Skoda,745000,2016,117048,Diesel,Manual,Silver,First,Individual,1598.0,105.0,250.0,FWD,4386.0,1699.0,1466.0,5.0,55.0
Hyundai,495000,2017,47000,Petrol,Manual,Silver,First,Individual,1197.0,81.0,114.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Audi,2450000,2018,43290,Petrol,Automatic,Blue,First,Individual,1798.0,178.0,250.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Mercedes-Benz,2850000,2016,7000,Diesel,Automatic,White,First,Individual,2143.0,168.0,400.0,RWD,4686.0,1810.0,1442.0,5.0,66.0
Mahindra,925000,2016,150000,Diesel,Manual,White,First,Individual,2179.0,120.0,280.0,RWD,4456.0,1820.0,1995.0,8.0,60.0
Toyota,1075000,2013,125000,Diesel,Automatic,White,First,Individual,2982.0,169.0,360.0,RWD,4705.0,1840.0,1850.0,7.0,80.0
Mercedes-Benz,6225000,2019,42079,Diesel,Automatic,Silver,First,Individual,2987.0,255.0,620.0,RWD,5063.0,1860.0,1494.0,5.0,80.0
Audi,1500000,2014,69000,Diesel,Automatic,Blue,First,Individual,1968.0,177.0,380.0,FWD,4915.0,1874.0,1455.0,5.0,65.0
Mitsubishi,625000,2011,40000,Diesel,Manual,White,Second,Individual,2835.0,118.0,292.0,AWD,4755.0,1775.0,1900.0,5.0,92.0
Toyota,325000,2011,101347,Petrol,Manual,Red,Third,Individual,1496.0,90.0,132.0,FWD,4265.0,1695.0,1510.0,5.0,45.0
Mahindra,1485000,2021,36700,Diesel,Manual,White,First,Individual,1497.0,121.0,300.0,FWD,4585.0,1866.0,1774.0,8.0,45.0
Audi,1650000,2012,240000,Diesel,Automatic,White,First,Individual,2967.0,245.0,500.0,AWD,4915.0,1874.0,1455.0,5.0,75.0
Audi,1800000,2014,76529,Diesel,Automatic,Blue,First,Individual,1968.0,141.0,320.0,FWD,4456.0,1796.0,1416.0,5.0,50.0
Toyota,1290000,2014,85000,Diesel,Manual,Silver,Second,Individual,2494.0,100.0,200.0,RWD,4585.0,1760.0,1760.0,7.0,55.0
Nissan,600000,2016,99000,Diesel,Manual,White,First,Individual,1461.0,84.0,200.0,FWD,4331.0,1822.0,1671.0,5.0,50.0
Hyundai,436000,2014,37959,Petrol,Automatic,White,Second,Individual,1197.0,79.0,112.0,FWD,3765.0,1660.0,1520.0,5.0,43.0
Toyota,4300000,2021,60000,Diesel,Automatic,White,First,Individual,2755.0,174.0,450.0,AWD,4795.0,1855.0,1835.0,7.0,80.0
Datsun,270000,2017,27000,Petrol,Manual,Silver,First,Individual,1198.0,67.0,104.0,FWD,3785.0,1635.0,1485.0,5.0,35.0
Hyundai,1911000,2022,1300,Petrol,Automatic,Black,First,Individual,1353.0,138.0,242.0,FWD,4300.0,1790.0,1635.0,5.0,50.0
BMW,8600000,2020,21696,Diesel,Automatic,Blue,First,Individual,2993.0,262.0,620.0,AWD,4922.0,2004.0,1745.0,5.0,80.0
Mercedes-Benz,3900000,2019,33000,Diesel,Automatic,Beige,First,Individual,1950.0,192.0,400.0,RWD,4686.0,1810.0,1442.0,5.0,66.0
Volvo,2000000,2016,6000,Diesel,Automatic,Red,First,Individual,1984.0,150.0,350.0,FWD,4370.0,1783.0,1458.0,5.0,60.0
Hyundai,465000,2019,19000,Petrol,Automatic,Gold,First,Individual,1086.0,68.0,99.0,FWD,3610.0,1645.0,1560.0,5.0,35.0
Honda,875000,2019,58618,Petrol,Manual,Grey,First,Individual,1497.0,117.0,145.0,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mahindra,850000,2019,85641,Diesel,Manual,White,First,Commercial Registration,1493.0,100.0,240.0,RWD,3995.0,1835.0,1839.0,7.0,60.0
Renault,426999,2020,41669,Petrol,Automatic,Others,First,Individual,999.0,67.0,91.0,FWD,3679.0,1579.0,1478.0,5.0,28.0
Mercedes-Benz,9200000,2022,10000,Diesel,Automatic,Blue,First,Individual,1950.0,241.0,500.0,AWD,4924.0,2157.0,1772.0,5.0,93.0
Hyundai,1035000,2018,36000,Diesel,Manual,Grey,First,Individual,1582.0,126.0,265.0,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,695000,2018,31000,Petrol,Manual,Grey,First,Individual,1197.0,89.0,113.0,FWD,3995.0,1735.0,1515.0,5.0,37.0
